Training on 285 samples. Training 30000 steps.
2019-07-21 12:51:03 step:2440  loss:0.6637 l_f:0.7004 loss_0:0.6932 loss_1:0.5975 
2019-07-21 12:51:30 step:2460  loss:0.4419 l_f:0.4254 loss_0:0.3482 loss_1:0.5522 
2019-07-21 12:51:58 step:2480  loss:0.5133 l_f:0.4669 loss_0:0.4061 loss_1:0.6669 
2019-07-21 12:52:25 step:2500  loss:0.5129 l_f:0.4445 loss_0:0.4374 loss_1:0.6568 
2019-07-21 12:52:52 step:2520  loss:0.6476 l_f:0.4956 loss_0:0.7210 loss_1:0.7263 
2019-07-21 12:53:19 step:2540  loss:0.4995 l_f:0.4468 loss_0:0.4405 loss_1:0.6112 
2019-07-21 12:53:47 step:2560  loss:0.6325 l_f:0.5543 loss_0:0.6961 loss_1:0.6470 
2019-07-21 12:54:15 step:2580  loss:0.7382 l_f:0.7248 loss_0:0.7774 loss_1:0.7123 
2019-07-21 12:54:42 step:2600  loss:0.4647 l_f:0.4283 loss_0:0.3337 loss_1:0.6319 
2019-07-21 12:55:10 step:2620  loss:0.6757 l_f:0.7457 loss_0:0.6331 loss_1:0.6481 
2019-07-21 12:55:38 step:2640  loss:0.6039 l_f:0.5531 loss_0:0.5154 loss_1:0.7431 
2019-07-21 12:56:05 step:2660  loss:0.7139 l_f:0.7851 loss_0:0.6765 loss_1:0.6800 
2019-07-21 12:56:32 step:2680  loss:0.6470 l_f:0.7383 loss_0:0.5927 loss_1:0.6099 
2019-07-21 12:56:59 step:2700  loss:0.4404 l_f:0.4613 loss_0:0.3254 loss_1:0.5345 
2019-07-21 12:57:27 step:2720  loss:0.6369 l_f:0.6765 loss_0:0.6335 loss_1:0.6006 
2019-07-21 12:57:54 step:2740  loss:0.6444 l_f:0.6918 loss_0:0.6426 loss_1:0.5988 
2019-07-21 12:58:22 step:2760  loss:0.4205 l_f:0.4234 loss_0:0.3622 loss_1:0.4759 
2019-07-21 12:58:48 step:2780  loss:0.4264 l_f:0.4314 loss_0:0.3061 loss_1:0.5417 
2019-07-21 12:59:16 step:2800  loss:0.4081 l_f:0.3947 loss_0:0.3084 loss_1:0.5212 
2019-07-21 12:59:44 step:2820  loss:0.5575 l_f:0.5583 loss_0:0.5347 loss_1:0.5795 
2019-07-21 13:00:11 step:2840  loss:0.4826 l_f:0.5049 loss_0:0.3471 loss_1:0.5959 
2019-07-21 13:00:39 step:2860  loss:0.5002 l_f:0.4966 loss_0:0.4309 loss_1:0.5729 
2019-07-21 13:01:06 step:2880  loss:0.4856 l_f:0.5215 loss_0:0.4287 loss_1:0.5067 
2019-07-21 13:01:34 step:2900  loss:0.4133 l_f:0.3860 loss_0:0.3210 loss_1:0.5328 
2019-07-21 13:02:01 step:2920  loss:0.6214 l_f:0.4963 loss_0:0.6583 loss_1:0.7096 
2019-07-21 13:02:28 step:2940  loss:0.4726 l_f:0.4593 loss_0:0.4287 loss_1:0.5298 
2019-07-21 13:02:56 step:2960  loss:0.4661 l_f:0.4265 loss_0:0.4297 loss_1:0.5422 
2019-07-21 13:03:23 step:2980  loss:0.6970 l_f:0.7900 loss_0:0.6364 loss_1:0.6646 
2019-07-21 13:03:51 step:3000  loss:0.6219 l_f:0.5319 loss_0:0.6424 loss_1:0.6914 
2019-07-21 13:04:19 step:3020  loss:0.5539 l_f:0.5404 loss_0:0.4537 loss_1:0.6678 
2019-07-21 13:04:46 step:3040  loss:0.6254 l_f:0.6612 loss_0:0.6193 loss_1:0.5956 
2019-07-21 13:05:14 step:3060  loss:0.5871 l_f:0.5145 loss_0:0.4878 loss_1:0.7590 
2019-07-21 13:05:42 step:3080  loss:0.6764 l_f:0.6553 loss_0:0.6959 loss_1:0.6781 
2019-07-21 13:06:09 step:3100  loss:0.4092 l_f:0.3909 loss_0:0.3177 loss_1:0.5189 
2019-07-21 13:06:37 step:3120  loss:0.4036 l_f:0.4464 loss_0:0.2767 loss_1:0.4877 
2019-07-21 13:07:05 step:3140  loss:0.6551 l_f:0.7317 loss_0:0.6469 loss_1:0.5867 
2019-07-21 13:07:32 step:3160  loss:0.3700 l_f:0.3968 loss_0:0.2401 loss_1:0.4730 
2019-07-21 13:08:00 step:3180  loss:0.3929 l_f:0.4346 loss_0:0.2849 loss_1:0.4591 
2019-07-21 13:08:28 step:3200  loss:0.5449 l_f:0.5249 loss_0:0.5171 loss_1:0.5927 
2019-07-21 13:08:56 step:3220  loss:0.5188 l_f:0.5009 loss_0:0.4707 loss_1:0.5848 
2019-07-21 13:09:23 step:3240  loss:0.5361 l_f:0.4880 loss_0:0.5129 loss_1:0.6074 
2019-07-21 13:09:51 step:3260  loss:0.8167 l_f:0.7986 loss_0:0.8002 loss_1:0.8515 
2019-07-21 13:10:18 step:3280  loss:0.5091 l_f:0.4606 loss_0:0.4199 loss_1:0.6466 
2019-07-21 13:10:45 step:3300  loss:0.4247 l_f:0.4427 loss_0:0.3316 loss_1:0.4999 
2019-07-21 13:11:13 step:3320  loss:0.4146 l_f:0.4329 loss_0:0.3530 loss_1:0.4578 
2019-07-21 13:11:40 step:3340  loss:0.4192 l_f:0.4581 loss_0:0.3116 loss_1:0.4878 
2019-07-21 13:12:08 step:3360  loss:0.6830 l_f:0.5818 loss_0:0.7381 loss_1:0.7292 
